activity_id,user_id,activity_date,session_duration,pages_viewed,action_type
1,616,2026-01-07,23,9,add_to_cart
2,4244,2026-05-26,55,8,view
3,2410,2025-09-11,19,12,login
4,2638,2024-09-19,8,13,login
5,129,2025-11-08,15,10,login
6,1129,2026-01-13,34,13,view
7,2449,2026-05-01,31,18,add_to_cart
8,1102,2024-08-18,55,7,view
9,3425,2025-05-12,10,8,add_to_cart
10,1174,2024-08-17,51,8,view
11,3160,2024-11-07,34,13,purchase
12,4716,2024-10-31,53,6,view
13,4300,2024-09-13,7,5,add_to_cart
14,2077,2026-03-09,58,8,login
15,2203,2025-03-05,31,16,view
16,868,2024-07-20,7,19,login
17,1420,2026-01-23,9,11,login
18,2023,2024-12-17,16,8,view
19,2584,2026-01-01,20,16,view
20,1975,2025-09-05,11,8,add_to_cart
21,1947,2026-03-11,47,14,login
22,1216,2025-11-26,50,8,login
23,1671,2025-04-26,9,2,view
24,4203,2025-12-10,54,11,login
25,2857,2025-02-14,34,3,view
26,4289,2025-03-15,59,8,login
27,3393,2025-08-18,26,9,view
28,4942,2026-02-18,16,10,add_to_cart
29,1307,2025-04-29,47,18,purchase
30,4450,2025-12-19,20,11,view
31,2054,2025-07-11,24,8,login
32,1181,2025-12-20,52,17,add_to_cart
33,4616,2026-06-05,1,1,view
34,4504,2025-12-13,52,11,view
35,1720,2024-08-09,21,17,login
36,4579,2025-10-24,26,4,view
37,3999,2025-08-27,16,19,login
38,2730,2026-05-18,15,17,view
39,2894,2025-10-25,45,13,view
40,4829,2024-07-20,48,12,login
41,4467,2024-07-18,23,4,purchase
42,1490,2026-02-17,18,3,view
43,3774,2026-03-21,29,18,view
44,124,2025-02-06,40,12,add_to_cart
45,2201,2024-09-19,16,1,login
46,938,2025-02-14,27,11,view
47,2754,2025-07-25,26,2,login
48,3274,2025-09-26,4,16,login
49,723,2024-12-05,29,13,login
50,4477,2024-11-29,54,19,view
51,888,2024-12-01,28,16,add_to_cart
52,3068,2025-04-01,58,4,add_to_cart
53,3866,2024-09-25,32,6,view
54,2868,2026-04-03,36,17,view
55,3863,2025-08-12,40,17,login
56,3660,2025-05-05,29,4,login
57,4183,2025-12-23,5,18,view
58,1184,2025-12-23,45,7,login
59,3124,2025-11-11,2,14,view
60,3919,2025-04-23,55,13,add_to_cart
61,1176,2024-06-16,58,16,view
62,1708,2024-09-01,19,1,view
63,3780,2026-03-10,47,18,view
64,4220,2024-12-06,20,9,view
65,4902,2025-07-21,46,7,view
66,2409,2025-02-14,28,9,login
67,2741,2025-02-16,14,3,login
68,116,2026-01-18,8,5,view
69,4315,2024-06-16,22,2,login
70,2881,2026-02-01,31,9,purchase
71,4059,2026-04-17,22,17,login
72,4845,2024-07-06,3,6,purchase
73,771,2024-10-23,9,19,view
74,3642,2025-09-14,26,7,login
75,4389,2025-03-06,16,15,view
76,805,2026-02-16,26,18,view
77,2597,2026-04-10,32,1,view
78,347,2025-06-25,31,18,login
79,4850,2024-11-12,44,9,login
80,3340,2026-02-19,21,2,purchase
81,2002,2025-07-23,45,3,login
82,3254,2024-06-24,30,6,login
83,2708,2024-09-06,32,18,login
84,2451,2026-04-27,46,12,login
85,1459,2026-05-03,12,7,login
86,1771,2024-07-10,50,13,login
87,4093,2024-08-08,55,8,view
88,2065,2024-11-06,59,13,login
89,2465,2026-04-11,25,15,login
90,2971,2025-01-30,55,1,login
91,3073,2026-03-07,25,4,add_to_cart
92,1963,2025-03-17,24,6,login
93,3090,2026-04-11,54,2,login
94,4711,2025-06-12,11,17,view
95,4999,2024-08-28,30,18,view
96,3946,2025-08-10,29,9,login
97,2245,2024-08-26,4,6,view
98,3491,2026-05-24,47,12,login
99,4592,2025-04-03,39,5,login
100,1438,2025-08-24,56,1,add_to_cart
101,896,2024-07-28,38,13,login
102,4388,2025-04-10,32,1,add_to_cart
103,58,2026-01-17,20,10,view
104,1767,2026-05-27,20,13,add_to_cart
105,3275,2025-11-06,45,5,add_to_cart
106,4915,2026-03-05,27,12,add_to_cart
107,3781,2024-08-25,10,14,login
108,839,2025-09-23,27,16,view
109,4469,2025-01-31,36,11,view
110,463,2025-09-30,37,7,view
111,744,2025-08-31,15,18,view
112,1281,2026-02-04,1,4,view
113,4491,2025-09-08,26,17,add_to_cart
114,244,2024-09-14,56,13,login
115,210,2024-11-10,17,10,add_to_cart
116,3700,2026-05-26,34,12,add_to_cart
117,3211,2025-04-23,7,16,purchase
118,3963,2025-10-14,5,9,add_to_cart
119,1508,2026-02-15,40,8,view
120,3965,2025-12-30,54,18,login
121,4340,2025-04-02,18,18,login
122,94,2024-07-14,32,2,login
123,1953,2026-04-28,12,13,login
124,624,2025-03-19,54,2,login
125,2530,2025-03-04,3,6,view
126,4442,2024-09-17,24,15,view
127,4141,2025-09-06,33,15,login
128,1566,2024-08-28,19,1,login
129,1279,2025-11-19,20,4,add_to_cart
130,406,2026-03-09,11,10,add_to_cart
131,4768,2026-01-11,33,12,view
132,3187,2026-03-07,49,11,view
133,2615,2025-09-19,7,15,view
134,1176,2024-12-05,5,6,add_to_cart
135,229,2026-03-25,26,12,login
136,3659,2026-06-07,23,16,login
137,57,2025-09-06,13,14,add_to_cart
138,3366,2025-05-01,40,2,login
139,4140,2025-08-03,34,11,login
140,3211,2025-05-22,59,4,view
141,3880,2024-08-18,26,5,view
142,352,2025-07-10,36,6,add_to_cart
143,4111,2025-05-18,3,16,login
144,2651,2026-02-23,49,16,login
145,116,2025-11-10,59,10,view
146,4365,2025-07-03,53,19,login
147,84,2024-08-14,5,10,add_to_cart
148,130,2025-06-26,4,16,add_to_cart
149,378,2024-06-22,20,1,login
150,2737,2025-08-06,40,11,view
151,4894,2024-06-24,52,14,view
152,3161,2025-10-27,47,8,view
153,1287,2025-02-12,39,5,add_to_cart
154,2133,2025-10-03,16,15,login
155,1035,2024-10-08,39,19,view
156,3176,2025-09-23,22,9,login
157,509,2026-04-07,14,18,view
158,1410,2024-11-21,48,14,login
159,453,2025-12-17,42,8,view
