order_id,user_id,order_date,category,revenue,discount,cost
1,3878,2026-01-03,beauty,18.83,1.07,12.99
2,4354,2026-04-04,fashion,126.12,9.51,65.37
3,1024,2024-12-18,beauty,14.38,2.64,5.81
4,2621,2024-07-30,electronics,34.86,5.29,15.46
5,4812,2024-12-22,sports,26.2,0.87,12.33
6,3702,2024-08-21,fashion,101.05,5.08,67.38
7,60,2026-06-04,beauty,81.22,9.68,32.73
8,1627,2025-05-19,beauty,81.97,6.28,40.85
9,508,2024-09-14,home,39.46,7.38,24.33
10,3561,2025-06-03,home,24.37,2.94,13.33
11,568,2025-10-04,home,29.07,3.32,16.77
12,1315,2025-10-01,fashion,290.47,37.46,200.01
13,172,2024-07-28,beauty,23.53,1.96,15.05
14,3035,2025-02-11,electronics,31.01,4.36,14.76
15,3306,2025-11-15,home,22.15,3.48,15.17
16,940,2026-01-13,electronics,24.05,2.94,14.63
17,1819,2025-11-09,sports,13.16,1.61,8.74
18,2077,2026-01-12,sports,73.58,2.99,34.19
19,4668,2024-10-30,fashion,113.89,14.77,60.45
20,4858,2024-09-16,fashion,83.75,4.9,38.41
21,4584,2024-06-25,electronics,33.04,3.32,16.89
22,3543,2025-12-17,fashion,20.22,0.87,12.97
23,2864,2024-09-30,sports,87.65,2.65,56.27
24,3701,2025-12-12,beauty,10.23,1.38,5.83
25,3782,2024-06-24,sports,151.03,18.01,94.23
26,4136,2024-10-21,fashion,69.29,2.02,28.01
27,3177,2025-07-06,sports,11.07,1.92,6.09
28,3761,2025-03-12,home,67.44,10.89,28.51
29,4441,2025-07-27,beauty,58.87,9.11,32.55
30,3105,2025-07-22,electronics,56.06,6.82,34.11
31,1519,2026-02-14,electronics,47.6,9.44,30.08
32,768,2026-03-16,electronics,60.56,11.84,26.89
33,947,2025-12-27,electronics,77.88,12.17,35.05
34,2207,2025-01-03,home,10.46,0.21,6.03
35,1422,2024-10-23,electronics,39.99,4.44,19.33
36,4210,2025-03-31,electronics,34.06,5.48,18.65
37,3533,2024-09-22,electronics,43.94,7.83,21.85
38,69,2026-01-19,sports,25.36,4.85,14.65
39,3523,2026-02-12,fashion,75.72,14.7,31.03
40,4921,2026-04-25,electronics,39.92,6.2,24.49
41,1893,2025-01-10,fashion,56.12,5.14,28.12
42,4999,2026-01-06,sports,50.66,3.48,20.93
43,532,2026-05-05,beauty,64.08,3.69,44.22
44,4418,2024-09-15,electronics,138.01,3.25,58.85
45,3407,2026-02-05,electronics,27.75,4.9,15.57
46,4792,2026-05-15,beauty,31.38,4.26,13.25
47,3762,2024-07-08,sports,114.93,6.25,72.67
48,1386,2025-03-03,sports,59.52,6.63,25.42
49,4281,2026-03-04,beauty,38.69,2.47,26.35
50,1496,2025-05-15,fashion,7.15,0.53,4.64
51,2117,2025-01-13,sports,46.8,1.74,20.05
52,3960,2025-07-27,fashion,27.79,3.41,15.81
53,3460,2024-08-04,sports,100.24,1.27,48.42
54,2519,2025-01-06,home,40.62,0.22,21.88
55,3678,2025-12-21,electronics,201.32,5.32,127.96
56,2478,2025-09-06,fashion,169.33,14.06,101.87
57,618,2025-10-16,fashion,149.9,14.33,97.13
58,3872,2024-08-14,home,21.37,0.13,9.11
59,4594,2025-07-06,sports,36.57,5.58,20.56
60,4883,2025-06-04,home,64.79,3.29,28.8
61,2462,2025-07-17,electronics,52.77,0.53,23.1
62,1680,2025-03-22,sports,30.41,1.33,13.39
63,786,2024-07-29,electronics,86.69,16.59,60.57
64,2866,2025-07-09,electronics,40.07,5.07,19.75
65,2777,2026-04-14,beauty,28.7,1.87,14.55
66,4951,2025-08-30,beauty,39.65,3.67,24.77
67,2351,2024-10-23,electronics,52.41,3.07,25.43
68,970,2025-03-28,beauty,15.46,0.78,7.65
69,2358,2024-10-16,fashion,38.11,7.61,18.24
70,196,2024-12-31,beauty,150.02,6.81,102.34
71,3995,2026-02-06,electronics,76.67,7.15,39.82
72,1079,2024-09-03,home,9.71,1.41,6.17
73,2615,2026-05-11,electronics,22.87,0.84,9.46
74,4664,2025-09-04,home,42.87,7.15,22.66
75,2270,2025-11-21,electronics,23.66,4.16,9.76
76,1539,2025-12-29,beauty,108.26,13.71,63.82
77,4120,2024-09-13,home,69.82,5.2,30.16
78,4320,2024-12-10,beauty,73.25,8.51,31.24
79,960,2026-01-12,electronics,52.85,0.24,28.55
80,2249,2025-07-16,fashion,40.02,1.32,23.89
81,504,2024-06-17,beauty,93.46,17.99,51.61
82,2373,2024-07-20,sports,36.49,0.85,17.77
83,474,2026-04-13,home,36.18,2.08,14.9
84,3143,2026-04-17,electronics,81.69,15.34,35.16
85,1841,2024-06-25,electronics,102.12,16.72,56.92
86,4463,2024-12-22,electronics,122.32,7.41,52.72
87,215,2024-07-21,sports,60.71,6.94,33.68
88,1458,2025-06-17,home,101.41,1.61,61.99
89,3276,2025-03-25,beauty,11.31,1.78,4.86
90,414,2025-04-09,beauty,27.29,3.17,18.34
91,2531,2026-05-31,beauty,98.69,2.96,49.69
92,4063,2024-10-10,sports,44.83,1.29,23.12
93,3904,2024-11-02,sports,2.07,0.4,1.11
94,2972,2026-06-09,home,35.67,2.74,18.99
95,3268,2026-04-13,fashion,25.33,4.6,15.46
96,766,2024-07-13,electronics,65.51,3.98,36.22
97,3436,2025-08-19,sports,72.5,7.8,48.36
98,3942,2026-03-01,home,78.13,1.21,42.94
99,1495,2026-05-26,fashion,25.09,1.04,13.2
100,554,2025-12-22,electronics,61.35,3.14,39.01
101,4703,2026-01-12,sports,52.78,6.73,32.77
102,4954,2025-11-07,fashion,2.97,0.54,1.6
103,1653,2025-05-07,sports,8.8,1.02,3.79
104,2293,2024-12-07,fashion,43.22,1.84,29.75
105,3233,2025-02-20,home,44.81,0.59,26.65
106,3596,2024-12-25,sports,83.81,0.39,58.12
107,1950,2025-05-05,home,93.29,12.4,44.66
108,1044,2026-05-28,sports,47.47,8.05,22.7
109,4336,2025-12-27,fashion,52.37,0.58,31.47
110,3717,2025-02-19,beauty,56.15,5.24,22.83
111,3828,2025-01-12,sports,33.16,5.69,18.03
112,2750,2026-03-19,home,48.94,9.15,29.83
113,4605,2024-08-15,home,44.87,6.78,31.33
114,3163,2025-09-02,fashion,13.65,2.24,8.8
115,4454,2025-04-01,sports,63.64,9.39,26.62
116,46,2024-09-16,home,21.81,0.83,12.28
117,2467,2025-07-10,fashion,20.13,3.75,9.05
118,3088,2025-11-20,electronics,108.84,5.45,61.89
119,1296,2026-05-17,fashion,93.32,4.49,64.59
120,3545,2024-07-26,fashion,24.18,0.75,10.82
121,3392,2024-11-02,sports,52.28,9.5,32.35
122,4654,2024-12-06,home,67.95,12.63,42.69
123,2561,2026-03-02,beauty,83.72,0.03,55.82
124,881,2025-07-21,electronics,27.38,1.79,18.18
125,1525,2024-07-21,beauty,27.57,3.73,17.5
126,1893,2025-04-23,beauty,23.83,1.94,14.17
127,4246,2024-08-08,beauty,81.47,7.34,41.52
128,3776,2026-04-28,sports,48.26,0.15,25.33
129,2173,2025-06-12,fashion,18.25,0.72,10.51
130,4033,2026-04-19,fashion,176.87,25.05,98.39
131,3757,2025-01-21,beauty,47.62,5.01,22.51
132,1105,2026-02-06,sports,20.07,2.83,12.8
133,73,2026-04-03,beauty,33.97,1.39,23.07
134,4871,2025-02-12,beauty,30.85,1.51,16.91
135,2499,2025-02-25,electronics,147.07,13.74,78.65
136,3968,2024-08-22,fashion,73.02,5.73,45.3
137,1971,2025-08-19,sports,45.79,1.36,19.85
138,734,2025-06-05,electronics,15.96,0.31,8.13
139,2479,2024-06-22,electronics,65.86,11.26,31.05
140,4265,2025-03-29,electronics,47.0,4.24,21.67
141,3676,2024-11-18,beauty,35.7,5.92,24.71
142,4830,2025-01-28,electronics,48.82,3.55,21.04
143,3642,2025-08-27,electronics,55.07,7.23,31.16
144,3633,2026-02-15,beauty,88.46,0.2,56.07
145,4178,2025-02-07,home,89.5,1.17,42.86
146,4054,2026-01-11,fashion,105.25,4.41,66.47
147,382,2025-10-12,fashion,88.26,6.11,53.38
148,3987,2024-12-21,sports,57.65,11.07,26.95
149,5,2025-06-11,sports,7.99,0.33,4.71
150,3513,2025-03-29,electronics,63.82,5.2,30.17
151,4099,2025-09-18,beauty,136.51,9.38,84.91
152,1785,2025-07-04,electronics,113.17,14.94,73.15
153,3445,2026-02-06,sports,36.87,2.04,20.14
154,1625,2026-02-08,electronics,83.6,10.55,41.87
155,3930,2024-11-14,home,31.7,5.47,16.71
156,4702,2026-01-05,fashion,3.54,0.31,1.86
157,2072,2026-05-16,fashion,58.54,2.81,23.72
158,3116,2025-08-14,beauty,59.66,11.11,32.09
159,4617,2026-01-27,beauty,75.04,6.24,51.46
160,1167,2026-02-24,electronics,130.55,24.25,61.2
161,1069,2024-12-23,electronics,30.36,1.99,21.16
162,3333,2024-10-10,beauty,82.68,8.18,40.12
163,2249,2024-06-20,electronics,11.44,1.79,7.23
164,3024,2026-06-10,sports,73.9,14.28,31.75
165,1563,2025-04-30,sports,200.95,11.52,122.28
166,4252,2024-07-04,sports,131.76,21.79,67.7
