user_id,signup_date,country,device,acquisition_channel
1,2025-10-25,Malaysia,tablet,facebook
2,2024-09-10,Thailand,mobile,google
3,2024-07-05,Singapore,desktop,facebook
4,2026-01-12,Indonesia,mobile,organic
5,2025-01-15,Indonesia,mobile,google
6,2024-12-23,Singapore,mobile,tiktok
7,2024-12-06,Thailand,mobile,facebook
8,2024-10-02,Singapore,mobile,tiktok
9,2026-01-09,Thailand,desktop,google
10,2024-09-03,Thailand,mobile,google
11,2025-11-23,Indonesia,mobile,google
12,2026-01-12,Vietnam,tablet,referral
13,2026-05-09,Malaysia,mobile,facebook
14,2025-08-13,Thailand,mobile,tiktok
15,2024-08-22,Singapore,desktop,google
16,2025-09-17,Indonesia,mobile,tiktok
17,2025-05-09,Thailand,mobile,organic
18,2024-07-10,Indonesia,desktop,referral
19,2024-07-09,Thailand,desktop,google
20,2024-08-27,Singapore,mobile,tiktok
21,2024-12-02,Malaysia,mobile,referral
22,2024-12-13,Malaysia,mobile,tiktok
23,2025-07-13,Singapore,desktop,google
24,2025-09-26,Vietnam,desktop,google
25,2024-07-06,Singapore,desktop,facebook
26,2025-08-25,Indonesia,desktop,google
27,2024-11-17,Malaysia,mobile,referral
28,2025-12-24,Indonesia,mobile,google
29,2025-11-02,Malaysia,mobile,facebook
30,2025-12-12,Indonesia,desktop,tiktok
31,2025-08-13,Singapore,mobile,referral
32,2025-05-07,Thailand,desktop,tiktok
33,2024-12-04,Thailand,mobile,google
34,2025-05-30,Singapore,mobile,facebook
35,2025-09-16,Malaysia,mobile,organic
36,2025-01-18,Malaysia,mobile,referral
37,2026-03-06,Malaysia,mobile,google
38,2026-04-22,Singapore,desktop,referral
39,2024-06-21,Indonesia,desktop,referral
40,2026-01-26,Singapore,desktop,tiktok
41,2026-03-03,Indonesia,desktop,tiktok
42,2024-10-18,Singapore,mobile,tiktok
43,2025-12-10,Indonesia,desktop,google
44,2025-05-10,Thailand,mobile,google
45,2025-03-07,Singapore,mobile,organic
46,2025-01-17,Malaysia,mobile,facebook
47,2024-10-14,Malaysia,tablet,organic
48,2024-11-30,Malaysia,mobile,tiktok
49,2026-01-30,Malaysia,mobile,facebook
50,2025-03-04,Thailand,mobile,google
51,2024-09-03,Vietnam,mobile,google
52,2024-08-27,Thailand,tablet,google
53,2025-04-07,Indonesia,desktop,google
54,2024-08-30,Indonesia,mobile,facebook
55,2025-03-21,Indonesia,mobile,google
56,2026-04-05,Indonesia,mobile,google
57,2025-03-10,Singapore,mobile,facebook
58,2025-09-27,Singapore,mobile,google
59,2025-01-07,Indonesia,mobile,facebook
60,2026-03-04,Malaysia,desktop,google
61,2024-07-19,Malaysia,mobile,organic
62,2026-01-03,Vietnam,mobile,facebook
